initial word,basic form,past simple,future simple,translation,additional meaning,etymology
Κρύψτε,κρύβω,έκρυψα,θα κρύψω,to hide,to conceal,Ancient Greek κρύπτω (to hide/conceal)
ξεναγό,ο ξεναγός,,,tour guide,guide,ξένος (stranger) + άγω (to lead)
ξενοδόχο,ο ξενοδόχος,,,hotelier,hotel owner,ξένος (stranger) + δέχομαι (to receive)
οινόπνευμα,το οινόπνευμα,,,rubbing alcohol,"alcohol, spirit",οίνος (wine) + πνεύμα (spirit)
παυσίπονα,το παυσίπονο,,,painkiller,analgesic,παύω (to stop) + πόνος (pain)
ξοδέψετε,ξοδεύω,ξόδεψα,θα ξοδέψω,to spend,to expend,εκ (out) + οδός (road/way) → έξοδα (expenses)
ενημερώστε,ενημερώνω,ενημέρωσα,θα ενημερώσω,to inform,"to notify, to update",εν (in) + ήμερα (day)
αντίθετη,αντίθετος,,,opposite,contrary,αντί (against) + θέτω (to place)
κατεύθυνση,η κατεύθυνση,,,direction,course,κατά (toward) + εύθυς (straight)
αυλή,η αυλή,,,courtyard,"yard, backyard",Ancient Greek αὐλή (courtyard/hall)
βαριά,βαρύς,,,heavy,"oppressive, severe",Ancient Greek βαρύς (heavy)
δημόσιος υπάλληλος,ο δημόσιος υπάλληλος,,,civil servant,public-sector employee,δήμος (people) + ὑπό (under) + ἔργον (work)
ασβεστώνανε,ασβεστώνω,ασβέστωσα,θα ασβεστώσω,to whitewash,to lime-wash,ἄσβεστος (unquenched) → lime
μύριζε,μυρίζω,μύρισα,θα μυρίσω,to smell,to give off an odor,μύρον (perfume/ointment)
τροχοφόρα,το τροχοφόρο,,,wheeled vehicle,motor vehicle,τροχός (wheel) + φέρω (to carry)
συγυρίζανε,συγυρίζω,συγύρισα,θα συγυρίσω,to tidy up,"to clean up, to put in order",σύν (together) + γυρίζω (to turn/put right)
Φροντίζουμε,φροντίζω,φρόντισα,θα φροντίσω,to take care of,"to look after, to see to",φροντίς (care/concern)
διαμορφωμένο,διαμορφωμένος,,,shaped,"designed, fitted out",διά (through) + μορφή (form/shape)
Διαθέτουμε,διαθέτω,διέθεσα,θα διαθέσω,to have available,"to possess, to dispose of",διά (through) + τίθημι (to place)
δίαιτας,η δίαιτα,,,diet,,Ancient Greek δίαιτα (way of living/lifestyle)
Κλείνουμε,κλείνω,έκλεισα,θα κλείσω,to close,"to shut, to complete (years)",Ancient Greek κλείω (to close/shut)
μέλος,το μέλος,,,member,,Ancient Greek μέλος (limb/part/member)
βάλετε,βάζω,έβαλα,θα βάλω,to put,"to place, to set",Ancient Greek βάλλω (to throw/place)
ενώ,ενώ,,,while,"whereas, although",εν (in) + ὅ (which/that)
πραγματική,πραγματικός,,,real,"true, actual",πράγμα (thing/matter)
καθώς,καθώς,,,as,"while, since",κατά (according to) + ὡς (as)
περίσσευαν,περισσεύω,περίσσεψα,θα περισσέψω,to be left over,to be in excess,περί (around/excess) + ισσ- (intensifier)
αναζητούσε,αναζητώ,αναζήτησα,θα αναζητήσω,to seek,"to look for, to search for",ανά (up/again) + ζητώ (to seek)
άλλοτε,άλλοτε,,,at other times,"sometimes, formerly",άλλος (other) + τε (and/at time)
Στενούς,στενός,,,close,"narrow, tight",Ancient Greek στενός (narrow/tight)
συγγενείς,ο συγγενής,,,relative,kin,συν (together) + γένος (family/race)
πίσω,πίσω,,,back,behind,Ancient Greek ὀπίσω (behind/back)
ερωτευμένος,ερωτευμένος,,,in love,smitten,έρως (love/desire)
περίπατο,ο περίπατος,,,walk,stroll,περί (around) + πατώ (to step/walk)
ειδικά,ειδικός,,,especially,"particularly, specifically",εἶδος (form/kind/type)
ταλαιπωρημένα,ταλαιπωρημένος,,,worn out,"exhausted, battered",τάλας (wretched) + πόρος (toil)
άνοστους,άνοστος,,,tasteless,bland,α- (without) + νόστος (taste/flavor)
κατάσταση,η κατάσταση,,,condition,"state, situation",κατά (down) + ἵστημι (to stand)
